自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
1,0-10,家人们晚上好，我是小苏！新来的先别急着划走，今天咱们把选灯这件事讲明白：色温怎么选、显指怎么看、安装麻不麻烦、到手价怎么算。,家人们咱们先热热场哈，灯在中文里就是“点亮、团圆、家里有光”。你家想点亮的是客厅还是卧室？公屏打【房间+面积+层高】，我马上按你家情况给你配灯，别自己硬猜。,家人们晚上好，我是小苏。新进直播间的家人先别着急走，小苏先给你一个选灯不踩坑的思路：客厅更看重通透和层次，卧室更看重舒适不刺眼，餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,通用,,2026/02/25,2026/02/27,开场-留人｜欢迎新进直播间,"欢迎,自我介绍,选灯思路",,,,,,
2,10-30,先别划走，小苏用30秒帮你避坑：色温不是越白越好，显指也不是越高越贵越值，关键是用在你家哪个房间、出光会不会直射刺眼。,家人们我教你一句选灯顺口溜：卧室要“暖”，客厅要“匀”，餐厨要“显色真”。你现在最怕的是刺眼还是不够亮？打在公屏，我按你家房间给你一句话解决。,家人你担心刺眼很正常。小苏给你个简单判断：卧室优先偏暖更舒服，客厅看你想清爽还是温馨；再看灯的出光方式，是不是直射眼睛。你把房间用途/层高告诉我，我按你家情况把色温和款式给你配到位，用起来舒服才是第一位。,质保3年；平台7天无理由退换（安装后不支持）。,留人,刺眼/频闪,,2026/02/25,2026/02/27,留人｜30秒避坑（色温/显指/眩光）,"留人,刺眼,眩光,色温,显指",,,,,,
3,30-90,家人我理解你觉得贵，小苏不催你冲动消费——你现在卡的就是“值不值”。咱们按你家场景和参数把账算清楚。,家人们别纠结“贵不贵”，咱换个算法：一盏灯用个5-8年，舒服不舒服每天都在用。你告诉我装哪间房、想清爽还是温馨，我把“值不值、该买哪个档”给你算明白再下单。,价格这块你犹豫很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我装客厅还是卧室、面积多大、层高大概多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。合适再拍，不合适别勉强。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,贵,,2026/02/25,2026/02/27,憋单｜贵=值不值（按场景算账）,"憋单,贵,值不值,参数,质保",,,,,,
4,90-180,这位家人眼光真到位！你选的是耐看型，装上去不是网红一阵风，是越用越舒服、越看越顺眼那种。,家人们这位家人眼光真稳！我顺便提醒一句：到手别急着装，先确认【尺寸/色温/配件】再安装，省得后面来回折腾。想我帮你核对的，拍个灯位和尺寸给我就行。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种耐看、省心的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,通用,,2026/02/25,2026/02/27,赞眼光｜选得很稳（耐看+省心）,"赞眼光,下单,夸奖,省心",,,,,,
5,180-240,家人我把规则先讲清楚：支持平台7天无理由退换，但安装后不支持。所以到手先确认尺寸/款式/色温，不确定拍给小苏我帮你核对。,家人们趁现在人少我把售后说得更明白：到货先开箱检查+通电试一下，确认没问题再安装；平台7天无理由退换，但安装后不支持。你不确定就拍给我，我先帮你确认。,售后这块你放心，小苏一直在。规则我也提前说清：平台7天无理由退换，但安装后不支持退换，所以你收到货先别急着装，先把尺寸、款式、色温确认好；需要我核对的直接拍照发我。质保是3年，后续有任何问题先联系小苏，咱们先沟通先解决，尽量不让你多跑一趟。,质保3年；平台7天无理由退换（安装后不支持）。,售后,质保,,2026/02/25,2026/02/27,售后｜退换规则先讲清（安装后不支持）,"售后,退换,7天无理由,安装后不支持,质保3年",,,,,,
6,0-10,家人们好，我是小苏！新来的别划走，回我三句话：装哪间房、面积多大、层高多少？我直接给你配灯+色温。,家人们直播间安静得像图书馆，那我来个小互动：你家层高是2米6左右还是更高？公屏打【2.6/2.8/3.0】我就告诉你更适合吸顶还是吊灯，选错真的容易压层高。,家人们好，我是小苏。刚进来的家人先别走，选灯别靠“看着好看”——最关键就三点：房间用途、面积、层高。你把这三样打在公屏，我就能把你适合吸顶还是吊灯、色温偏暖还是偏白、亮度大概怎么选给你讲明白，省你做功课也少踩坑。,质保3年；平台7天无理由退换（安装后不支持）。,开场,通用,0,2026/02/25,2026/03/02,开场｜三问快速分流（新开场白）,"开场,留人,三问,房间,面积,层高,快速匹配",,,,,,
7,0-10,新来的家人我先交代一下流程：咱们这场4小时，小苏先讲选灯避坑，再讲爆款对比，最后做一轮回购福利，不懂就直接问。,家人们我再把节奏说一遍，别走丢：先讲避坑→再讲不同灯型怎么选→最后复盘最划算组合。你现在最想听哪一类？公屏打【吸顶/吊灯/筒射/台灯】，我先讲你们最关心的。,家人们我先把这4小时怎么逛直播间讲清楚：前10分钟小苏把色温、显指、眩光这些关键点讲明白；中段我们按吸顶/吊灯/筒射/台灯一类类过，边讲边给你对比；最后我会把今天最划算的组合再复盘一遍。你现在最关心的是哪块：价格、安装，还是怕刺眼？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,通用,0,2026/02/26,2026/02/27,开场｜直播流程预告（4小时节奏）,"流程,4小时,福利,提问",,,,,,
8,0-10,新来的家人小苏先把售后说在前：质保3年，平台7天无理由退换，但安装后不支持，咱们先确认再安装更省心。,家人们先把安全感给到：质保3年；平台7天无理由退换，但安装后不支持。所以下单后到手先确认再装，别着急。要我帮你核对型号/尺寸的，拍图发我就行。,家人们我先把最关键的售后口径说清楚，让你买得安心：我们这边是3年质保；平台支持7天无理由退换，但安装后不支持退换。所以你收到货先别急着装，先确认尺寸/款式/色温，不确定拍给小苏我帮你核对好再装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,开场,质保,0,2026/02/26,2026/03/02,开场｜先把售后说在前（安心）,"开场,售后,质保,退换,安心",,,,,,
9,10-30,新来的家人先别走，小苏只问你三件事：装哪间房、面积多大、层高多少？你回我一句，我直接给你合适的灯和色温。,家人们别潜水，给我三句话就能配灯：装哪间房？多大面积？层高多少？你回我这三样，我直接告诉你选什么灯型、色温怎么配，省你做功课。,家人你刚进来别急着划走，小苏帮你省时间：你告诉我1）客厅/卧室/餐厅/书房；2）大概面积；3）层高，三句话我就能把你该选吸顶还是吊灯、要多亮、色温选多少给你说明白。你不想研究参数也没关系，小苏按你家情况给你配。,质保3年；平台7天无理由退换（安装后不支持）。,留人,通用,0,2026/02/26,2026/03/02,留人｜新进先问三件事（快速对号入座）,"留人,新进,三问,面积,层高,房间",,,,,,
10,30-90,家人你要是卡在安装，小苏把话说透：先拍你家原灯/孔位，我判断要不要电工、难不难，别你自己瞎猜。,家人们安装这块别自己吓自己：大多数换灯就是对孔位对线色（一定断电，最好找电工）。你拍一下原灯底座/孔距，我先帮你判断难不难、要不要加固，心里有数再拍。,安装麻烦这个顾虑很正常。小苏不让你盲拍：你拍一下原灯位置/天花，换灯一般就是对孔位对线色，吸顶和大部分吊灯都不复杂；筒射主要看开孔尺寸。你担心额外费用，我也提前跟你算：要不要电工、要不要改孔，我先给你判断清楚，你确认能接受再下单，省得后面麻烦。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,安装麻烦,0,2026/02/26,2026/03/02,憋单｜安装麻烦？先把成本和流程讲透,"憋单,安装,电工,孔位,换灯",,,,,,
11,30-90,家人你卡在刺眼/频闪，小苏不跟你嘴硬：先按房间定色温，再看出光是不是直射，舒服了你再拍。,家人们怕刺眼我理解，你记住：不是越亮越好，关键看出光有没有直射眼睛。你坐沙发/躺床会不会晃？把房间用途发我，我教你怎么选“亮但不刺”的。,你担心刺眼/频闪是对的。小苏先把选择顺序给你：第一步按房间用途定色温（卧室更偏暖舒服、客厅看你想清爽还是温馨）；第二步看出光方式，尽量避免直射眼睛。至于频闪，我不做绝对承诺，你到手觉得不舒服，7天内按平台规则走；但你放心，小苏会先帮你把参数和使用场景匹配好，尽量一次选对。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,刺眼/频闪,0,2026/02/26,2026/03/02,憋单｜刺眼/频闪担心？先按房间定色温,"憋单,刺眼,频闪,色温,眩光",,,,,,
12,90-180,眼光真好！你选的这类灯更耐看也更百搭。你家层高大概多少？我顺便教你吸顶和吊灯怎么选更合适。,家人们这位家人选得稳，我顺手给你一句：层高偏低优先吸顶，层高够想要氛围再上吊灯。你把层高+餐桌/客厅尺寸打出来，我把“能不能吊、吊多长”讲明白。,家人你这个选择很稳，眼光在线。小苏顺便给你一个选法：层高偏低更建议吸顶，整体更利落；层高够、想要氛围感可以选吊灯。你把层高和餐桌/客厅尺寸告诉我，我把尺寸、下吊高度这些给你算一下，装出来才会好看又不压层高。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,通用,0,2026/02/26,2026/02/27,赞眼光｜吸顶/吊灯怎么选（顺手转讲解）,"赞眼光,转讲解,吸顶,吊灯,层高",,,,,,
13,180-240,家人记住：安装前先做三件事——对尺寸、对款式、对色温；不确定就拍给小苏确认，装了就不支持无理由退换了。,家人们安装前一定做这3步：对尺寸、对色温、对配件；通电试一下再决定装不装。因为平台7天无理由退换，但安装后不支持。拍照发我，我也能帮你一起核对。,小苏再强调一次，为了不让你售后麻烦：平台是7天无理由退换，但安装后不支持。所以你收到货先别急着装，先把尺寸、款式、色温确认好；通电试一下看是否满足你的需求；有任何疑问拍照/视频发我，我帮你核对清楚再安装。这样你最省心。,质保3年；平台7天无理由退换（安装后不支持）。,售后,通用,0,2026/02/26,2026/03/02,售后｜安装前必做3件事（避免无法退换）,"售后,安装前,检查,退换,安装后不支持",,,,,,
14,0-10,家人们下午好，我是小苏！新来的先别划走，今天这场把选灯最容易踩坑的点讲透：色温怎么选、显指怎么看、装起来麻不麻烦。,家人们我给你们来个“灯光小常识”：同一盏灯在白墙和灰墙下，看起来色温会不一样。你家墙面偏白还是偏灰？公屏打一下，我给你更准的色温建议。,家人们下午好，我是小苏。刚进直播间的家人先别划走，选灯别靠感觉乱买——先看房间用途（客厅/卧室/餐厅），再定色温（想清爽还是温馨），最后看出光方式避免直射刺眼。你把房间+面积+层高发我，我按你家情况给你配，省钱又省心。,质保3年；平台7天无理由退换（安装后不支持）。,开场,通用,,2026/02/26,2026/02/27,开场｜欢迎新进+一句话定位,"欢迎,自我介绍,选灯避坑,评论互动",,,,,,
15,收尾-结束前5分钟,家人们今天先到这儿！没下单的先别急，点个关注/收藏不迷路——下次直播我专门讲【客厅/卧室】怎么配光、色温怎么选，更省心。,家人们收尾前来个轻松的：灯火在中国人心里就是“家”和“暖”。没下单的先别急，点个关注/收藏不迷路；你把房间+面积+层高留在评论，下次我按你家的情况优先讲。,家人们感谢今天一路陪着小苏的家人。今天我们把选灯最关键的几个点（房间用途、色温、出光方式、安装注意）都讲到了，没来得及问的家人也别着急，先点个关注/收藏，回放你随时能看。下次直播我会重点做两件事：1）按客厅/卧室/餐厅把常见搭配和避坑再系统讲一遍；2）把大家最常问的“刺眼/安装/值不值”集中答疑。你想让我先讲哪一块？打在公屏，我下次优先安排。,质保3年；平台7天无理由退换（安装后不支持）。,结尾,通用,,2026/02/26,2026/02/27,结尾｜下次直播预告+关注提醒,"结尾,预告,下次直播,关注,收藏,回放",,,,,,
16,0-10,家人们好，我是小苏！新来的别划走，回我三句话：装哪间房、面积多大、层高多少？我直接给你配灯+色温。,家人们我看你们都不说话，那我直接发问：你现在选灯最卡的是【刺眼/安装/价格】哪一个？公屏打1/2/3，我就按你选的点往下讲，别让你白蹲。,家人们好，我是小苏。刚进直播间的家人先别划走，选灯别靠感觉乱买——先看房间用途（客厅/卧室/餐厅），再定色温（想清爽还是温馨），最后看出光方式避免直射刺眼。你把房间+面积+层高发我，我按你家情况给你配，省钱又省心。,质保3年；平台7天无理由退换（安装后不支持）。,开场,欢迎+关注,,2026/02/26,2026/02/27,开场｜欢迎+关注,"开场,欢迎,关注,新进,三问",,,,,,
17,0-10,家人们好，我是小苏！新来的别划走，回我三句话：装哪间房、面积多大、层高多少？我直接给你配灯+色温。,家人们再来一次“三问配灯”：房间？面积？层高？你把这三样打出来，我就能把灯型和色温给你配到位。不会选没关系，你只管说需求。,家人们好，我是小苏。刚进直播间的家人先别划走，选灯别靠感觉乱买——先看房间用途（客厅/卧室/餐厅），再定色温（想清爽还是温馨），最后看出光方式避免直射刺眼。你把房间+面积+层高发我，我按你家情况给你配，省钱又省心。,质保3年；平台7天无理由退换（安装后不支持）。,开场,三问快速分流,,2026/02/26,2026/02/27,开场｜三问快速分流,"开场,留人,三问,房间,面积,层高,快速匹配",,,,,,
18,0-10,家人们好，我是小苏！先别划走，我给你3分钟讲清楚：色温怎么选、显指怎么看、安装要注意什么。,家人们我给你一个30秒避坑：卧室别太白容易累，客厅别太黄容易闷，餐厨显色别太低颜色发灰。你告诉我装哪间房，我直接给你推荐最合适的色温范围。,家人们好，我是小苏。今天这场不讲虚的，只讲你买灯最怕踩的坑，看完你就知道怎么选。卧室偏暖更舒服、客厅偏白更清爽、餐厨显色要高，这些都是最关键的点。你把房间用途和大概面积发我，我按你家情况给你配，省你做功课。,质保3年；平台7天无理由退换（安装后不支持）。,开场,30秒避坑承诺,,2026/02/26,2026/02/27,开场｜30秒避坑承诺,"开场,留人,30秒,避坑承诺,色温,显指",,,,,,
19,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们现在我把福利说清楚：想要我这套“选灯避坑表”的，公屏打【清单】。想直接省事的，打【房间+面积+层高】，我边讲边帮你配。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,福利引导+节奏预告,,2026/02/26,2026/02/27,开场｜福利引导+节奏预告,"开场,留人,福利引导,节奏预告,回放,关注",,,,,,
20,0-10,家人们好，我是小苏！今天不讲虚的，只讲你买灯最怕踩的坑，看完你就知道怎么选。,家人们互动一下：你家更喜欢“清爽白”还是“温馨暖”？公屏打【清爽/温馨】，我顺便把客厅卧室怎么配色温讲清楚，听完你就不纠结了。,家人们好，我是小苏。今天我们先按房间用途把色温、显指、出光方式讲透。你把客厅/卧室/餐厅、面积、层高发我，我按你家情况给你配，省钱又省心。新来的家人先别划走，有问题打在公屏，小苏优先回答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,留人+引导提问,,2026/02/26,2026/02/27,开场｜留人+引导提问,"开场,留人,引导提问,互动,场景,户型",,,,,,
21,0-10,家人们好，我是小苏！今天我先按客厅/卧室/餐厅帮你把选灯思路先讲清楚。,家人们我给你们一个词的寓意：‘明’=日月同辉。家里想要“明而不刺”，就看出光方式和色温。你家是客厅还是卧室？打出来我给你一句话建议。,家人们好，我是小苏。选灯别只看图，我今天按场景给你讲：卧室偏暖更舒服、客厅偏白更清爽、餐厨显色要高。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。新来的家人先别划走，有问题打在公屏，小苏优先回答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,选灯思路先讲清,,2026/02/26,2026/02/27,开场｜选灯思路先讲清,"开场,选灯思路,思路,三问,房间,色温",,,,,,
22,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们预算这块别焦虑，你给我一个区间就行：比如【200-300/300-500/500+】。我按预算给你配“够用”和“更舒服”的两套方案，你对比着选最省钱的。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,参数+预算+风格,,2026/02/26,2026/02/27,开场｜参数+预算+风格,"开场,预算,风格,参数,客厅,卧室",,,,,,
23,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们你们随便问，灯这块我最怕的不是问题多，是你们憋着不问。你现在最想解决的是：怎么选灯型？怎么选色温？还是安装怎么弄？公屏打出来我就讲。,家人们好，我是小苏。今天咱们讲清楚：光太白刺眼、显色不好、安装麻烦——这三点你先确认。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。新来的家人先别划走，有问题打在公屏，小苏优先回答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,互动提问,,2026/02/26,2026/02/27,开场｜互动提问,"开场,互动提问,场景,户型,客厅,卧室",,,,,,
24,0-10,家人们好，我是小苏！今天先把最关键的选灯思路讲清楚，再讲如何避坑，最后做一轮回购福利。,家人们我先立个规矩：不让你们盲拍。你把房间用途+面积+层高发我，我先把灯型、尺寸、色温给你对上号，合适再下单，别花冤枉钱。,家人们好，我是小苏。新来的先别划走，我今天按客厅/卧室/餐厅帮你把色温怎么选、显指怎么看讲透。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,立人设+靠谱人设,,2026/02/26,2026/02/27,开场｜立人设+靠谱人设,"开场,立人设,靠谱,小苏,家人们,避坑",,,,,,
25,0-10,家人们好，我是小苏！今天我按你家房间用途、面积、层高给你配灯，省你做功课。,家人们我给你们一个“下单前必做”：先量尺寸/孔径/层高，拍照留着；不确定就发我，我帮你核对。确认好了再装更省心，装完就不支持无理由退换了。,家人们好，我是小苏。先别急着下单，我帮你把色温、显指、出光方式讲清楚，避免你装了不舒服。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,避坑承诺+给安全感,,2026/02/26,2026/02/27,开场｜避坑承诺+给安全感,"开场,避坑承诺,安全感,先测试后装,避免踩坑",,,,,,
26,10-30,别划走，小苏用30秒帮你避坑：色温不是越白越好，显指也不是越高越贵越值，关键是用在你家哪个房间、出光会不会直射刺眼。,家人们咱们互动一下：你家更想要“亮一点”还是“柔一点”？公屏打【亮/柔】。我顺便把色温和防眩怎么选给你讲透。,家人们你担心刺眼很正常。小苏给你个简单判断：卧室优先偏暖更舒服，客厅看你想清爽还是温馨；再看灯的出光方式，是不是直射眼睛。你把房间用途/层高告诉我，我按你家情况把色温和款式给你配到位，用起来舒服才是第一位。,质保3年；平台7天无理由退换（安装后不支持）。,留人,30秒避坑,,2026/02/26,2026/02/27,留人｜30秒避坑,"留人,30秒,避坑,色温,显指",,,,,,
27,10-30,别划走，你回我：装哪间房+多大面积+层高多少？我一句话给你配灯和色温。,家人们别潜水，回我一句就行：装哪间房+大概面积？我直接给你推荐灯型和尺寸，省你翻半天。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。,质保3年；平台7天无理由退换（安装后不支持）。,留人,一句话配灯,,2026/02/26,2026/02/27,留人｜一句话配灯,"留人,一句话配灯,回我,房间,面积,层高",,,,,,
28,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们我先做个小投票：你最怕的是【刺眼】还是【不够亮】？公屏打1/2，我按你选的那条往下讲。,家人你刚进来别急着划走，小苏帮你省时间，你只要回我三个信息：房间用途、面积、层高。你不想研究参数也没关系，小苏按你家情况给你配。你现在最关心的是哪块：怕刺眼、怕安装麻烦，还是觉得贵？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,互动提问,,2026/02/26,2026/02/27,留人｜互动提问,"留人,互动,打在公屏,客厅,卧室,餐厅",,,,,,
29,10-30,别划走，你告诉我1）客厅/卧室/餐厅；2）大概面积；3）层高，三句话我就能把该选吸顶还是吊灯、色温怎么配给你说明白。,家人们教你一句：层高低选贴顶，层高够做氛围。你家层高大概多少？公屏打【2.6/2.8/3.0】我就给你定方向。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按房间类型讲,,2026/02/26,2026/02/27,留人｜按房间类型讲,"留人,按房间,客厅,卧室,餐厅,色温",,,,,,
30,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们亮度别猜，按面积来更稳：你家客厅/卧室多少平？打出来，我给你一个“够亮不浪费”的建议。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在最关心的是哪块：怕不够亮、怕太刺眼，还是怕显色不好？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按亮度需求讲,,2026/02/26,2026/02/27,留人｜按亮度需求讲,"留人,亮度,客厅,卧室,吸顶,吊灯",,,,,,
31,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们风格这块别纠结，先说你家是【现代/奶油/原木/轻奢】哪种？公屏打出来，我给你推荐更搭的灯型和颜色。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种风格：简约清爽、轻奢质感，还是复古温馨？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按风格需求讲,,2026/02/26,2026/02/27,留人｜按风格需求讲,"留人,风格,简约,轻奢,复古,温馨",,,,,,
32,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们预算不怕说，给我个区间就行：200-300 / 300-500 / 500+。我按预算给你两套：省钱款和更舒服款。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在卡在预算上，是觉得贵还是觉得贵得没道理？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按预算讲,,2026/02/26,2026/02/27,留人｜按预算讲,"留人,预算,高性价比,按预算,性价比",,,,,,
33,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们层高低最怕“压”，层高高最怕“空”。你家是偏低还是偏高？公屏打【低/高】我教你怎么选不翻车。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你担心层高问题，是层高偏低压人，还是层高足够想做吊灯？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按层高讲,,2026/02/26,2026/02/27,留人｜按层高讲,"留人,层高,吸顶,吊灯,层高偏低,层高足够",,,,,,
34,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们不想刺眼，就记住四个字：别直射眼。你家主要是沙发位晃眼还是床上晃眼？打【沙发/床】我给你避眩思路。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你更在意哪种出光方式：漫反射更柔和、直射更明亮，还是怕眩光刺眼？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按出光方式讲,,2026/02/26,2026/02/27,留人｜按出光方式讲,"留人,出光方式,漫反射,直射,避免眩光,舒服",,,,,,
35,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们色温其实很好选：想温馨选暖一点，想清爽选白一点。你家更喜欢【暖/白】？我按房间给你落到具体建议。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你更倾向哪种色温：偏暖舒服、偏白清爽，还是看你家人习惯？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按色温需求讲,,2026/02/26,2026/02/27,留人｜按色温需求讲,"留人,色温,暖,白,3000K,6000K",,,,,,
36,30-90,家人我理解你觉得贵，小苏不催你冲动消费——你现在卡的就是“值不值”。咱们按你家场景和参数把账算清楚。,家人们我给你个“值不值”判断：同样是灯，舒服的光每天都在用。你告诉我装哪间房、你更在意亮还是柔，我把该选哪个档位讲清楚。,价格这块你犹豫很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我装客厅还是卧室、面积多大、层高大概多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。合适再拍，不合适别勉强。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,贵=值不值（按场景算账）,,2026/02/26,2026/02/27,憋单｜贵=值不值（按场景算账）,"憋单,贵,值不值,按场景,算账,质保",,,,,,
