自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
146,收尾-结束前5分钟,家人们回放我帮你标重点：色温怎么选、怎么避眩光、安装前核对，没听全的别急，回放补上。,家人们没听全的别急，回放我建议你重点看3段：色温怎么按房间选、怎么避眩光、安装前怎么核对尺寸/开孔。你收藏一下，等你真装修用得上。,家人们今天内容多，没听全的别焦虑，回放随时能看。我建议你回放重点盯三块：1）色温怎么按房间选；2）出光方式怎么避眩光更舒服；3）安装前怎么核对尺寸/开孔，避免后面麻烦。你关注/收藏一下不迷路，明天我也会在下一场把这些点再用案例讲一遍。,质保3年；平台7天无理由退换（安装后不支持）。,结尾,回放提醒+重点时间轴,,2026/02/26,2026/02/27,结尾｜回放重点我给你标好了,"结尾,回放,重点,时间轴,参数,避坑",,,,,,
147,收尾-结束前5分钟,家人们想让我帮你配灯，按格式发：房间+面积+层高+风格+预算，我就能给你一个更贴合的建议。,家人们想让我直接给你配灯的，按这个格式发我最快：①房间 ②面积 ③层高 ④风格（现代/奶油/原木）⑤预算 ⑥你最在意（不刺眼/要亮/要氛围）。信息齐，我一句话给你定方向。,家人们收尾前我说个最实用的：你想让我帮你配灯，信息越完整越省时间。你按这个格式发我：①房间（客厅/卧室/餐厅/卫生间）②面积③层高④风格（现代/奶油/原木…）⑤预算区间⑥你最在意的点（不刺眼/亮一点/氛围感）。我看到就按你的需求给你一个搭配思路，后面你看回放也更能对号入座。,质保3年；平台7天无理由退换（安装后不支持）。,结尾,帮配灯引导（信息收集）,,2026/02/26,2026/02/27,结尾｜想让我帮配灯？按这个格式发我,"结尾,配灯,信息收集,面积,层高,预算",,,,,,
148,收尾-结束前5分钟,家人们最后温柔催一波：点个关注就行，我不打扰你；你装修要选灯了，回来找小苏就行。,家人们最后温柔催一波：点个关注就行，我不打扰你。等你装修真要选灯了，回来找小苏，把户型一发，我继续帮你配，省你做功课。,家人们今天就到这儿啦。最后温柔催一波关注：你不用每天来看，我也不打扰你；等你装修真要选灯的时候，回来搜到我、把户型发我，我就能继续接着给你讲。下次直播我会按不同户型做案例，教你怎么选得更舒服、更耐看。,质保3年；平台7天无理由退换（安装后不支持）。,结尾,温柔催关注+不打扰承诺,,2026/02/26,2026/02/27,结尾｜关注一下，不打扰你（需要再来找我）,"结尾,关注,不打扰,需要再来,下次见",,,,,,
149,风扇灯,,家人们风扇灯我再补一句闲聊：这叫“一个顶两个”，灯+风合体，省空间还省事。你家装客厅还是卧室？层高多少？公屏打出来，我告诉你选多大更稳、风量够不够。想锁价的先拍购物车，拍完把层高发我我再帮你核对。,"家人们晚上好，刚进直播间的先帮我点个关注、点点赞，咱们今天不整虚的，直接讲一款最近卖得特别火的——智能风扇灯。

家人们你们想想：是不是很多家里还是“一个吊灯+一个落地扇”？开灯热、开风扇占地方，层高不高的还显得压。那这款风扇灯就是把两个东西合成一个：上面照明，下面送风，装一个顶两个。

先把优点说透：
第一，它是灯。色温能调，暖一点看电视舒服，白一点办公清爽，晚上开柔光不刺眼；亮度也能自己调，想亮想暗都行。
第二，它是风扇。风速有分档，睡觉用柔风、白天用自然风、热的时候开大风；而且它不只是吹风，春秋做空气循环、冬天配合空调让热气往下走，这个体验很多家人们装了才懂。
第三，它安静。直流变频电机，低档基本听不见，家人们别担心嗡嗡响。

适用场景我也给你说清：客厅、卧室、餐厅、儿童房都可以，尤其儿童房怕直吹的，这种是大范围柔风更舒服；扇叶还是隐藏式的，安全感也更强。

安装这块也别慌：你家原来是吸顶灯位的，大多数直接替换就行，正常电工都能装，不需要额外拉线。

家人们现在公屏告诉我：你是装客厅还是卧室？大概多少平、层高多少？我直接按你家情况告诉你选多大、够不够亮、风量够不够。想要的家人们直接看购物车链接，库存紧的，先拍先发。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜风扇灯（灯风二合一）,"风扇灯,智能风扇灯,灯风二合一,隐藏扇叶,直流变频,客厅,卧室,儿童房,四季可用",,,,,,
150,吊灯,,家人们吊灯最怕两件事：压层高、尺寸不对。你别靠感觉，餐桌多长、层高多少？公屏打【餐桌长度+层高】，我直接给你算“吊多长、离地多高”不压头。确定要的家人先拍下单，尺寸我给你兜底核对。,"家人们晚上好，刚进来的点个关注别走，今天咱们把【吊灯】讲明白：怎么选才好看、怎么装才不压层高。

家人们你们有没有这种感觉：看别人家吊灯特别有氛围，自己一装，要么压头、要么太小像挂了个装饰、要么一开灯刺眼？吊灯好不好看，关键就三点。

第一看层高。层高不高（2米6左右）的家人们，尽量选短吊、贴顶感强一点的款式；层高够，你想要氛围感再上更有造型的。
第二看尺寸比例。餐厅吊灯不是越大越好，重点是跟餐桌尺寸匹配；你把餐桌长宽和离地高度发我，我给你把“买多大”直接算出来。
第三看光舒服不舒服。餐厅更看显色，饭菜看着更有食欲；客厅更看柔和，别坐沙发一抬头就晃眼。

吊灯最适合的位置：餐桌上方、客厅茶几上方、挑空楼梯间这些“需要氛围中心”的地方。

安装也别想复杂：大多数就是固定底盘、接线、调下吊高度。家人们担心装不了的，拍一下你家原灯位和层高，我先帮你判断能不能装、装了会不会压。

来，家人们公屏打一下：你装吊灯是餐厅还是客厅？层高多少？我按你家情况给你选款和尺寸，别花冤枉钱。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜吊灯（完整示例）,"灯饰介绍,吊灯,餐厅灯,客厅灯,氛围感,下吊高度,选购避坑",,,,,,
151,吸顶灯,,"家人们别沉默，我怕你们一沉默我就开始讲装修冷知识了——讲着讲着你们就全想换灯。
这样，公屏告诉我：客厅还是卧室？面积多少？我给你们把吸顶灯尺寸直接报出来。","家人们晚上好，新进来的点个关注别走！今天咱们讲【吸顶灯】——它真的是最省心、最不挑户型的主灯。

家人们很多家里层高不高，装吊灯怕压、怕磕头，或者想要客厅看着干净利落，那吸顶灯就是稳。

吸顶灯怎么选才不踩坑？记住三句话：
第一，主灯要“亮而不刺眼”。别只追求亮，关键看光是不是均匀、会不会一抬头就晃。
第二，色温按房间来。客厅你想清爽就偏白一点，想温馨就偏暖一点；卧室建议偏暖更放松。纠结的家人们，选能调光调色的更省心。
第三，看安装是不是方便。你家原来是吸顶灯位的，大多数直接替换就行；孔位不确定的，拍给我，我帮你先确认。

适用场景：客厅主灯、卧室主灯、书房主灯都很合适。

家人们现在告诉我：你是装客厅还是卧室？大概多少平？你更想要清爽还是温馨？我按你家情况把尺寸和色温直接给你配好。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜吸顶灯（完整示例）,"灯饰介绍,吸顶灯,层高低,主灯,均匀照明,三色调光,省心",,,,,,
152,壁灯,,"家人们我发现你们都很“有礼貌”——看壁灯都不说话。
没事，你们只要打两个字：床头/走廊。
我就直接告诉你：要上下洗墙还是阅读可调，别让你装完后悔。","家人们晚上好！今天给大家讲一个“装上立刻显高级”的——【壁灯】。

家人们是不是有这种情况：白天没感觉，晚上要么开大灯太亮太顶、要么不开灯又黑；想看电视、起夜、陪娃，就差一盏舒服的光。壁灯就是专门做“补光+氛围”的。

壁灯的好处很简单：它从侧面出光，天然更柔和，不容易刺眼；再加上它能把墙面打出层次，家里一下就有氛围。

选壁灯别踩坑，家人们记住：
第一，壁灯一般不是主照明，别指望一盏壁灯照亮全屋。
第二，看位置。床头要不要能调角度？走廊要不要上下洗墙？不同位置选法不一样。
第三，看预留。最好是装修时就留好电位；已经装完的也别慌，有些位置可以做插电款，但美观度会差一点。

适用场景：床头、走廊过道、玄关、沙发背景、电视墙都很加分。

来，家人们公屏告诉我：你想装壁灯是床头还是走廊？你要偏“实用阅读”还是偏“氛围高级”？我按你的用途给你推荐出光方向和款式。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜壁灯（完整示例）,"灯饰介绍,壁灯,氛围灯,床头灯,走廊灯,不刺眼,辅助照明",,,,,,
153,台灯,,"家人们，直播间这么安静，我都以为你们在认真学习。
那我考一下：台灯最怕啥？——不是不亮，是刺眼+反光。
公屏打“孩子/自己”，我按用途给你们配台灯，别瞎买。 ","家人们晚上好！今天讲【台灯】——别小看它，台灯选对了，学习办公眼睛真能舒服很多。

家人们是不是也遇到过：主灯开着，桌面还是不够亮；或者亮是亮，但刺眼、反光、看久了累？台灯就是专门负责“桌面这一块任务光”的。

选台灯，家人们抓住三点就行：
第一，光要稳、要均匀。照在桌面别一块亮一块暗，别晃眼。
第二，显色要好。显色差的灯，看书发灰、画画颜色不准，化妆也容易翻车。
第三，色温要对。学习办公更适合自然一点的光；睡前阅读更适合暖一点的光。能调光调色的，用起来更顺手。

还有个小细节：灯头角度能不能调、灯臂稳不稳很关键，不然光落不到纸上，买回去就成摆设。

家人们现在公屏告诉我：你买台灯是给孩子写作业，还是自己办公阅读？桌子大概多宽？我按用途给你建议照明范围和功能要不要带调光。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜台灯（完整示例）,"灯饰介绍,台灯,阅读灯,护眼,显指,色温,书房卧室",,,,,,
154,落地灯,,"家人们你们别不说话，我现在手里这盏落地灯一开，氛围感直接拉满。
你们要不要我现场给你们来一段：
“关主灯，开落地灯——人生立刻慢下来。”
想看阅读款还是氛围款？公屏打1/2。","家人们晚上好！今天讲【落地灯】——一句话：它是客厅氛围感的“快捷键”。

家人们你们有没有这种感觉：客厅主灯一开太亮太顶，关了又暗；想在沙发上看书、刷手机、陪娃，光怎么都不对。落地灯就是专门补“沙发旁边这一块”的。

落地灯的优势：不刺眼、很柔和，而且摆在角落/沙发边，晚上开着就很有家的感觉。

选落地灯，家人们重点看：
第一，底座稳不稳。家里有孩子有宠物的，这个必须稳。
第二，你要阅读还是要氛围。阅读型要灯头可调、光能落在书上；氛围型一般是向上打墙/打顶，整个空间会更温柔。
第三，放哪儿、插座在哪儿。落地灯最怕买回去发现线不够长、位置不顺。

家人们公屏告诉我：你准备放沙发边还是角落？你更需要“能看书的光”还是“纯氛围的光”？我按你家用途给你推荐出光方式和高度。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜落地灯（完整示例）,"灯饰介绍,落地灯,客厅氛围,角落补光,阅读灯,不刺眼,高级感",,,,,,
155,筒灯,,"家人们我说个真事：筒灯最贵的不是灯，是开孔开错。
所以你们别潜水了，公屏打一下：孔径多大？7.5/9/10？
我先帮你们把“能不能装”确认了，省得返工。","家人们晚上好！今天讲【筒灯】——无主灯里用得最多，但也是最容易翻车的一类。

家人们筒灯一翻车通常就三件事：开孔不对装不上、光斑一坨一坨不均匀、还有就是眩光刺眼。

所以选筒灯，先把这几句记住：
第一，先量开孔！你家孔是多大就买多大，别凭感觉。已经开好孔的家人们，拍个尺子量给我看，我给你确认。
第二，防眩很关键。走廊过道一抬头就晃的那种真的难受，尽量选深杯/防眩设计。
第三，数量和间距要合理。筒灯不是越多越好，太多刺眼，太少又暗。你把区域面积和层高发我，我给你一个大概布灯思路。
第四，色温按区域选。厨房卫生间要更清晰一点，走廊玄关要更柔和一点，别全屋乱配。

筒灯更适合厨房、卫生间、走廊、玄关、衣帽间这些功能区。

家人们现在告诉我：你装筒灯是哪个区域？有没有已经开孔？孔径多少？我直接给你推荐更稳的款式和参数。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜筒灯（完整示例）,"灯饰介绍,筒灯,嵌入式,开孔尺寸,无主灯,防眩,走廊厨房卫生间",,,,,,
156,射灯,,"家人们射灯这块我不怕你们问，就怕你们不问。
你们只要告诉我：你是想洗墙显高级，还是想照画/照柜子。
公屏打“洗墙/照物”，我马上给你们讲明白怎么选不晃眼。","家人们晚上好！今天讲【射灯】——它不是负责“照亮全屋”的，它是负责“让家更有层次、更好看”的。

很多家人们做无主灯，装完像办公室：亮是亮，但没有重点、没有氛围。射灯的作用就是：你想让哪里好看，它就把哪里照出来。

射灯怎么选才舒服？家人们记住三点：
第一，防眩。坐沙发看电视最怕被晃到，深杯、防眩结构很关键。
第二，角度可调。能调方向，才能照画、照柜子、洗墙，照歪了真的很尴尬。
第三，色温统一。射灯经常跟筒灯、灯带一起用，全屋色温不统一会显得很廉价。

适用场景：背景墙洗墙、装饰画、展示柜、玄关重点区，都是射灯的主场。

家人们公屏告诉我：你想用射灯照墙，还是照柜子/装饰画？我按用途给你建议角度、数量和怎么布点位更好看。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜射灯（完整示例）,"灯饰介绍,射灯,重点照明,洗墙,氛围层次,无主灯,角度可调",,,,,,
157,象鼻灯,,"家人们卫生间镜前灯这块，我一句话：别让顶灯决定你的颜值。
公屏打一下你家镜子宽度（大概就行），我直接告诉你象鼻灯买多长最合适。","家人们晚上好！今天给大家讲【象鼻灯】——也叫镜前灯/镜柜灯，主打一个：照镜子更清楚、化妆更真实，脸上不出阴影。

家人们你们有没有发现：卫生间顶灯一开，镜子里脸色发灰、眼下黑一块，妆画完到外面一看就不一样了？这就是缺一盏“对的镜前光”。

象鼻灯选得好，关键就三点：
第一，显色要好。显色差的灯，肤色会偏黄偏灰，看起来很不精神。
第二，光要均匀。别只照到额头不照下巴，或者中间亮两边暗。
第三，长度要合适。镜子多宽，灯尽量覆盖主要照明区域，照得全才好用。

安装这块我也提前说：一般需要预留电位；如果你是镜柜自带灯，要看尺寸和电源位置。已经装修好的家人们也别慌，拍一下现场，我帮你看看能不能替换/加装。

来，家人们公屏打一下：你家镜子大概多宽？是镜柜还是普通镜？我直接告诉你选多长、选什么色温更自然。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜象鼻灯（完整示例）,"灯饰介绍,象鼻灯,镜前灯,卫生间,化妆灯,显色,不阴影",,,,,,
158,折叠灯,,"家人们折叠灯这边我给你们一句大实话：
买灯最怕“买回去不好用”，折叠灯最怕“折两下就松”。
公屏打一下：你是学习用、床头用，还是当补光？我按用途给你挑。","家人们晚上好！今天讲【折叠灯】——它特别适合“空间小但需求多”的家。

家人们你们想想：同一个位置，有时候要照桌面学习，有时候想打到墙上做氛围，有时候又想收起来不占地方。折叠灯的优势就在：角度可调、用法更灵活。

折叠灯怎么选不踩坑？看三点：
第一，关节稳不稳。关节松的，用不了几天就垮，光照不准。
第二，照明范围够不够。你是书桌用还是床头用，照的范围不一样。
第三，光线舒不舒服。别买那种一开就刺眼的，最好有调光，用起来更顺。

适用场景也很广：书桌学习、床头阅读、柜体补光、临时拍视频/直播补光都能用。

来，家人们公屏告诉我：你买折叠灯主要是用在学习、床头，还是当补光？我按你的用途给你推荐更合适的款式和功能。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜折叠灯（完整示例）,"灯饰介绍,折叠灯,可调角度,多功能,学习办公,床头,小空间",,,,,,
159,轨道灯,,"家人们轨道灯这块最适合“选择困难症”。
因为你先把轨道装上，后面灯头想照哪儿就挪哪儿。
公屏打一下：客厅还是餐厅？你想照墙还是照桌面？我给你出方案。","家人们晚上好！今天讲【轨道灯】——一句话：无主灯里最灵活的方案。

家人们你们有没有这种需求：现在家具还没定、以后可能换布局，或者你想要层次感，但又不想一开始就把灯位钉死。轨道灯就是先把轨道装上，后面灯头想照哪儿就移哪儿。

轨道灯的优势：
1）灯头可移动、角度可调，照画、照柜子、照餐桌都行。
2）更容易做重点照明，比单纯筒灯更有层次。
3）后期维护省心，想加灯头、换灯头都方便。

选轨道灯，家人们注意三点：
第一，防眩很关键，轨道灯很多时候在视线范围内，晃眼就难受。
第二，色温要统一，轨道灯+筒射+灯带搭配时，别一黄一白。
第三，轨道怎么走要看布局：一字型、L型、还是分段，跟你家重点区域有关。

家人们公屏告诉我：你想装在客厅还是餐厅？主要想照墙/画，还是照桌面？我按你家用途给你建议轨道长度和灯头数量。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜轨道灯（完整示例）,"灯饰介绍,轨道灯,可移动,可调角度,无主灯,餐厅客厅,灵活布光",,,,,,
160,感应灯,,"家人们我发现你们都在潜水，没事，我给你们一个“夜里幸福感测试”：
起夜要不要摸黑找开关？要的话，感应灯就安排。
公屏告诉我装哪儿：玄关/走廊/床边/柜子，我给你选合适的。","家人们晚上好！今天讲【感应灯】——它真的是“装上就后悔装晚了”。

家人们想想：晚上起夜、走廊找开关、抱娃腾不开手，或者家里老人夜里上厕所最怕摸黑。感应灯的体验就是：你一靠近它自己亮，你走开它自己灭，省事又安全。

感应灯最适合装的位置：玄关、走廊过道、卫生间门口、床边、衣帽间/橱柜里面。

选感应灯别踩坑，家人们看三点：
第一，感应距离和灵敏度要合适，别老误触发，也别走到跟前才亮。
第二，光要柔。它主要是夜里用的，偏暖、低亮度更舒服，也不影响睡意。
第三，供电方式看你家条件：插电、充电、电池，各有适用位置。

来，家人们公屏告诉我：你想装感应灯是玄关、走廊还是床边/柜子？我按位置给你推荐选“柔光夜灯”还是“通行更亮”的。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜感应灯（完整示例）,"灯饰介绍,感应灯,人体感应,夜灯,玄关走廊,起夜,安全",,,,,,
161,石膏灯,,"家人们石膏灯这块我先一句话：想要顶面干净高级，就得提前规划。
你们公屏打一下：层高多少？做不做无主灯？我给你把能不能做讲明白。","家人们晚上好！今天讲【石膏灯】——喜欢极简、奶油风、侘寂风的家人们，这个灯一做出来，顶面真的干净高级。

很多家人们怕装灯“突兀”，一抬头全是灯具，显得乱。石膏灯的特点就是：灯体藏进吊顶里，见光不见灯，整个空间看起来更利落。

但家人们我也提前把重点说清：石膏灯不是随便买回去就能装，它更吃“施工配合”。
第一，得跟吊顶/批刮/乳胶漆工序一起规划，提前留位置、留线。
第二，点位排布很重要。排得不好会出现照明不均，或者空间没层次。
第三，舒适度也要看防眩和出光角度，不是说藏起来就一定不刺眼。

适用场景：客厅、走廊、玄关、卧室都能做，尤其想做无主灯、追求顶面干净的家人们很合适。

家人们公屏告诉我：你家层高多少？准备做无主灯还是主灯+辅助？我按你家情况告诉你石膏灯要不要做、怎么做更稳。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜石膏灯（完整示例）,"灯饰介绍,石膏灯,无主灯,嵌入式,极简,见光不见灯,吊顶",,,,,,
162,超薄灯,,"家人们超薄灯适合谁？一句话：层高不高、又想要清爽利落的。
公屏打一下：你家层高大概多少？装客厅还是卧室？我直接给你配尺寸。","家人们晚上好！今天讲【超薄灯】——层高不高、想要顶面更利落的家人们，这个真的很友好。

家人们你们有没有这种感觉：明明装的是吸顶灯，但灯体厚厚一坨，顶面看着就压？超薄灯的优势就是：更贴顶、更轻盈，空间一下显得通透。

选超薄灯，家人们别只盯“薄”，重点看三点：
第一，光要均匀。别出现中间亮、边缘暗，主灯一定要照得匀。
第二，色温要合适。客厅想清爽、卧室想放松，最好能调光调色更省心。
第三，安装匹配。看你家原灯位孔距/底盘能不能直接替换，不确定就拍给我，我先帮你确认。

适用场景：客厅、卧室、书房主灯都很合适。

家人们公屏告诉我：你家层高大概多少？装客厅还是卧室？面积多少平？我按你家情况给你建议选多大尺寸、选什么色温。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜超薄灯（完整示例）,"灯饰介绍,超薄灯,层高低,不压顶,贴顶,极简,吸顶灯",,,,,,
163,斗胆灯,,"家人们斗胆灯就是“高级感专用”。
你们别不说话，公屏打一下：你是要洗墙，还是照画/照柜？我给你讲怎么选不晃眼。","家人们晚上好！今天讲【斗胆灯】——你就把它当成“更高级、更防眩”的重点照明。

家人们做无主灯最怕啥？要么刺眼晃眼，要么装完没质感。斗胆灯的优势就是深杯结构，光更聚、眩光更少，用来洗墙、照画、照柜子特别出效果。

斗胆灯适合用在哪儿？
- 电视墙/背景墙洗墙
- 装饰画、展示柜、酒柜、手办墙
- 玄关重点区
它不是主灯，它是“把重点照出来”的。

选斗胆灯，家人们看三点：
第一，防眩结构要到位。深杯不等于一定不晃，还是要看遮光角。
第二，用途决定角度。你要洗墙还是照物，角度不一样，效果差很多。
第三，色温要统一。跟全屋筒灯、灯带搭配，别一黄一白。

家人们公屏告诉我：你家斗胆灯主要想用来洗墙，还是照画/照柜子？我按用途给你建议选什么角度、点位怎么布更好看。",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜斗胆灯（完整示例）,"灯饰介绍,斗胆灯,深杯,防眩,射灯升级,洗墙,无主灯",,,,,,
164,灯带,,"家人们灯带这块，谁装谁知道：晚上不开主灯也很舒服。
公屏打一下：你想装吊顶还是柜子？想要温馨暖还是清爽白？我给你建议色温和位置。","家人们晚上好！今天讲【灯带】——它不是负责“照亮”的，它是负责“让家变温柔、变高级”的。

家人们很多家里只有主灯，晚上开灯像开会；一加灯带，立刻就有层次、有氛围，拍照也更好看，而且晚上不想开大灯的时候，灯带就是最舒服的背景光。

灯带最常见、最实用的地方：
- 吊顶边槽：客厅氛围层次
- 背景墙/电视墙：洗墙更高级
- 橱柜底/吊柜底：切菜做饭不挡光
- 衣柜/展示柜：拿取方便、质感更好
- 床头背景：睡前氛围更舒服

选灯带别踩坑，家人们记住三点：
第一，色温一定要统一，别跟主灯打架。
第二，亮度别过头。灯带是氛围光，太亮就刺眼，太暗又像没装。
第三，效果80%看安装结构。要做“见光不见灯”，遮光槽位做不好，再好的灯带也显廉价。

来，家人们公屏告诉我：你想装灯带是吊顶还是柜子？你家更偏温馨还是清爽？我按风格给你建议色温和位置怎么做最好看。 ",质保3年；平台7天无理由退换（安装后不支持）。,灯饰介绍,,1,2026/02/27,2026/03/02,灯饰介绍｜灯带（完整示例）,"灯饰介绍,灯带,氛围光,无主灯,吊顶,柜体灯带,层次感",,,,,,
165,0-10,家人们别潜水了，想看哪一类灯就打在公屏：吸顶/吊灯/风扇灯/灯带。你们打字我就按你家户型讲怎么选，别白蹲。,"家人们我先给你们讲个小段子：
刚刚我问运营：今天直播间怎么这么安静？
运营说：因为大家都在默默对比，怕一开口就暴露自己想买。

家人们别藏了，想看哪一款灯就打在公屏：吸顶/吊灯/风扇灯/灯带。你们打字我就按你们家户型直接讲怎么选，别让你们白蹲。","家人们我先讲个小段子：
刚刚我问运营：今天直播间怎么这么安静？
运营说：因为大家都在默默对比，怕一开口就暴露自己想买。

家人们别藏了，想看哪一类灯就打在公屏：吸顶/吊灯/风扇灯/灯带。
你打字我就按你家情况讲：
- 层高2米6左右：更适合吸顶/超薄，清爽不压顶；
- 想要氛围：吊灯/灯带怎么搭更高级；
- 客厅热：风扇灯怎么选风量和尺寸。

顺便也别让小苏猜——你家装哪间房？大概多少平？层高多少？你回我【房间+面积+层高】，我直接给你配灯型+色温，省你做功课。",质保3年；平台7天无理由退换（安装后不支持）。,开场,冷场互动/引导开口,,2026/02/27,2026/03/02,开场｜冷场互动：想看哪类灯就打出来,"冷场,互动,公屏,引导,选灯",,,,,,
166,0-10,家人们直播间这么安静，我怀疑你们在用意念下单。公屏打“1”让我确认你们手机没坏；打“2”我把吊灯选尺寸口诀直接送你，省你纠结。,"家人们直播间这么安静，我怀疑你们在用意念下单。
要不这样，公屏打个“1”，让我确认你们手机没坏；
打个“2”，我就把吊灯选尺寸的口诀直接送你们，省得你们回去再纠结。","家人们直播间这么安静，我怀疑你们在用意念下单。
要不这样：公屏打个【1】，让我确认你们手机没坏；
公屏打个【2】，我把吊灯选尺寸的“傻瓜口诀”直接送你们。

来，口诀来了（收藏）：
1）先看层高：2米6左右优先短吊/贴顶；层高够再做造型。
2）再看餐桌：灯的长度≈餐桌长度的1/2到2/3；圆桌灯直径≈桌径的1/2左右。
3）再看高度：餐桌吊灯离桌面约70-80cm更舒服，不压头。

你家是餐厅吊灯还是客厅吊灯？餐桌多长、层高多少？你发我【餐桌长度+层高】，我直接给你把“买多大、吊多长”算出来。",质保3年；平台7天无理由退换（安装后不支持）。,开场,冷场互动/福利口诀,,2026/02/27,2026/03/02,开场｜冷场互动：打1/2送你吊灯尺寸口诀,"冷场,互动,吊灯,尺寸,口诀,层高",,,,,,
167,0-10,家人们别潜水，回我三句话：装哪间房、面积多大、层高多少？我直接给你配灯型+色温。,家人们直播间这么安静，我来个小互动：公屏打【客厅/卧室/餐厅】+【面积】+【层高】，我马上把你该选什么灯型和色温讲明白。,"家人们别潜水，我就问你三件事，回一句我就能配灯：
1）装哪间房（客厅/卧室/餐厅/走廊）
2）面积多大（大概就行）
3）层高多少（2.6/2.8/3.0）

你回我这三样，我直接给你：
- 选吸顶还是吊灯；
- 色温选清爽还是温馨；
- 亮度大概怎么配才够用不浪费。

家人们想省事的就按格式发【房间+面积+层高】，我看到就给你对号入座。",质保3年；平台7天无理由退换（安装后不支持）。,开场,冷场互动/三问快速分流,,2026/02/27,2026/03/02,开场｜冷场互动：三问配灯（别潜水）,"冷场,互动,三问,房间,面积,层高",,,,,,
168,0-10,家人们晚上好，我是小苏！今晚帮你把选灯这件事讲透，避坑省心。,家人们你们先打【1】，我确认下你们在，然后你们把【房间+面积+层高】发我，我直接给建议。,家人们晚上好，我是小苏。今晚这场不讲虚的，就讲你怎么选灯不踩坑、色温怎么配、出光怎么避眩。直播间点个关注别迷路，有问题随时问，我帮你按你家情况配灯。,质保3年；平台7天无理由退换（安装后不支持）。,开场,打招呼+立人设,,2026/02/28,2026/02/28,,"开场,人设,靠谱,专业,小苏,选灯不踩坑",,,,,,
169,0-10,家人们好，我是小苏！回我【房间+面积+层高】，我一句话给你配好灯型和色温。,家人们别潜水，打【客厅/卧室/餐厅】+面积+层高，我看到就给你配，别让你自己研究半天。,家人们好，我是小苏。选灯别靠感觉，我来帮你省时间。你只需要告诉我装哪间房、面积多大、层高多少，我就能把吸顶还是吊灯、色温偏暖还是偏白、亮度怎么配直接给你定好。,质保3年；平台7天无理由退换（安装后不支持）。,开场,打招呼+快速分流,,2026/02/28,2026/02/28,,"开场,快速分流,房间,面积,层高,一句话配灯",,,,,,
170,0-10,家人们好，我用30秒帮你避坑：卧室要暖、客厅要匀、餐厨要显色真。,家人们你这会儿最怕什么？是刺眼、怕安装麻烦、还是怕贵？打在公屏1/2/3，我按你说的重点讲。,家人们好，我先用30秒帮你避坑。记住三句口诀：卧室要暖（偏黄更放松）、客厅要匀（通透不刺眼）、餐厨要显色真（Ra95以上饭菜更有食欲）。把这三句记住，你选灯就不会翻车。,质保3年；平台7天无理由退换（安装后不支持）。,开场,30秒避坑承诺,,2026/02/28,2026/02/28,,"开场,避坑,30秒,色温,显指,眩光",,,,,,
