自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
221,10-30,家人们卫生间选灯的留一下，镜前灯和防潮是关键。,你们卫生间需要选灯吗？打在公屏我说要点。,家人们卫生间选灯要点：第一镜前灯很重要，照镜子更清楚、化妆不翻车；第二防潮防水要达标，卫生间湿气重；第三灯具要容易清洁，油污好擦。你家卫生间多大？打在公屏我帮你推荐。,质保3年；平台7天无理由退换（安装后不支持）。,留人,用卫生间留人,,2026/02/28,2026/02/28,,"留人,卫生间,镜前灯,防潮,防水,选灯",,,,,,
222,10-30,家人们阳台选灯的留一下，看是晾晒区还是休闲区。,你们阳台主要是晾晒还是休闲？打在公屏我看需求。,家人们阳台选灯分情况：如果主要是晾晒，灯简单够亮就行；如果封窗做成休闲区，可以选氛围好一点的主灯或吊灯。阳台一般灰尘大，选容易打理的款式。你家阳台怎么用？打在公屏我帮你配。,质保3年；平台7天无理由退换（安装后不支持）。,留人,用阳台留人,,2026/02/28,2026/02/28,,"留人,阳台,封窗,晾晒,休闲,选灯",,,,,,
223,10-30,家人们玄关选灯的留一下，入户第一眼很重要。,你们玄关需要选灯吗？打在公屏我说方案。,家人们玄关选灯要点：第一要亮堂，入户觉得敞亮；第二可以做一点氛围，比如壁灯或小吊灯；第三灯具要跟客厅风格协调。你家玄关大概多大？打在公屏我帮你推荐。,质保3年；平台7天无理由退换（安装后不支持）。,留人,用玄关留人,,2026/02/28,2026/02/28,,"留人,玄关,入门,亮堂,氛围,选灯",,,,,,
224,10-30,家人们走廊过道选灯的留一下，筒灯射灯怎么选我教你。,你们走廊需要几个灯？打在公屏我帮你算。,家人们走廊过道选灯一般用筒灯或射灯：筒灯光线扩散、照亮整体；射灯光线集中、可以洗墙做氛围。走廊宽度决定用几个灯，间距一般1米到1.5米一个。你家走廊多长？打在公屏我帮你算数量。,质保3年；平台7天无理由退换（安装后不支持）。,留人,用走廊留人,,2026/02/28,2026/02/28,,"留人,走廊,过道,筒灯,射灯,选灯",,,,,,
225,10-30,家人们衣帽间选灯的留一下，显色好才能看清衣服颜色。,你们衣帽间需要选灯吗？打在公屏我说要点。,家人们衣帽间选灯要点：第一显色指数要高，Ra95以上最好，选衣服看颜色才准；第二亮度要够，每个格子柜最好有灯带；第三可以选感应式开关，开门就亮。你家衣帽间多大？打在公屏我帮你配。,质保3年；平台7天无理由退换（安装后不支持）。,留人,用衣帽间留人,,2026/02/28,2026/02/28,,"留人,衣帽间,衣柜,显色,选灯",,,,,,
226,10-30,家人们楼梯间选灯的留一下，安全照明是关键。,你们楼梯间需要选灯吗？打在公屏我说方案。,家人们楼梯间选灯要点：第一照明要均匀，每一级台阶都要照到；第二可以装感应灯，人来灯亮更安全；第三灯具要固定牢靠，避免晃动。你家楼梯间几层？打在公屏我帮你配。,质保3年；平台7天无理由退换（安装后不支持）。,留人,用楼梯间留人,,2026/02/28,2026/02/28,,"留人,楼梯间,感应,安全,选灯",,,,,,
227,30-90,家人价格不是贵，是值不值。灯用5-8年，舒服不舒服每天都在用。,你告诉我装哪间房、预算大概多少，我给你两套方案对比。,家人价格这块你犹豫很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我装客厅还是卧室、面积多大，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。合适再拍，不合适别勉强。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用价值塑造,,2026/02/28,2026/02/28,,"憋单,价值,不是贵,是值不值,舒适度,质保",,,,,,
228,30-90,家人这批福利价库存有限，先拍先锁价，后面不一定有。,想要的家人先把灯加购，有问题随时问我。,家人福利价一般不持续太久，这批库存卖完可能要等很久或者恢复原价。你如果确定要装这间房，建议先拍一单锁住价格和库存，后面你再慢慢选安装时间。不想要了7天内可以退，平台规则我提前说清楚。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用限时紧迫感,,2026/02/28,2026/02/28,,"憋单,限时,库存,最后几张,福利价,手慢无",,,,,,
229,30-90,家人别怕装不了，你拍原灯位给我看，我帮你判断能不能装。,你们担心安装问题的，把现场情况发我，我帮你判断。,家人安装这块我帮你提前判断：你拍一下原灯位置、孔距和线头，我看看是直接替换还是需要改孔。吸顶和大部分吊灯都不复杂，筒射主要看开孔尺寸。你担心什么？打在公屏我帮你分析。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用安装焦虑,,2026/02/28,2026/02/28,,"憋单,安装,怕装不了,孔位,电工,提前判断",,,,,,
230,30-90,家人怕刺眼就记住：不是越亮越好，关键看出光方式和色温。,你现在最担心刺眼还是亮度不够？打在公屏我说解决办法。,家人怕刺眼我理解，选灯看两点：第一看出光方式，漫反射比直射柔和；第二看色温，卧室偏暖更舒服、客厅看你想要清爽还是温馨。你把房间用途告诉我，我帮你配舒服的款式。频闪我们控制得很好，到手可以先测试。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用刺眼顾虑,,2026/02/28,2026/02/28,,"憋单,刺眼,眩光,出光方式,色温,舒服",,,,,,
231,30-90,家人规则我说清楚：7天无理由退换，但安装后不支持。所以先确认再装更省心。,你还有什么退换政策的疑问吗？打在公屏我解答。,家人我把规则提前说清：平台支持7天无理由退换，但安装后不支持。所以你收到货先别急着装，先确认尺寸、款式、色温；需要我核对的直接拍照发我。质保是3年，后续有任何问题先联系小苏。咱们按流程来最省心。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用退换保障,,2026/02/28,2026/02/28,,"憋单,退换,7天无理由,安装后不支持,先确认,省心",,,,,,
232,30-90,家人售后不是不管你，是有我在先帮你沟通，不用你一个人扛。,你们售后有什么担心的吗？打在公屏我说清楚。,家人售后这块你放心，小苏一直在。规则我说清：质保3年；平台7天无理由退换，但安装后不支持。所以你收到货先别急着装，有任何问题拍照发我，我帮你核对清楚再安装。后面用着有任何问题，先联系小苏，咱们先沟通先解决。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用售后安心,,2026/02/28,2026/02/28,,"憋单,售后,质保3年,有我在,先联系,解决",,,,,,
233,30-90,家人怕选错就按我说的来，我帮你配的不会翻车。,你们之前有没有踩过坑？打在公屏我说怎么避开。,家人怕选错、怕翻车这个顾虑很正常。小苏帮你把选择顺序理清楚：第一步按房间用途定色温，第二步看出光方式，第三步确认尺寸和款式。你把房间、面积、层高发我，我按你家情况配。这样基本不会踩坑。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用踩坑恐惧,,2026/02/28,2026/02/28,,"憋单,怕踩坑,选错,翻车,按我说的选,不会错",,,,,,
234,30-90,家人舒服不舒服试过才知道，到货先通电测试再安装。,你还有什么安装前测试的问题吗？打在公屏我解答。,家人怕装完不舒服很正常。小苏建议你先测试再装：收到货先通电看色温、亮度和出光方式，再决定装不装。如果你觉得不舒服，7天内按平台规则退。但重点是装之前先把尺寸、款式、色温确认好，别装了再改。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用舒服承诺,,2026/02/28,2026/02/28,,"憋单,舒服,试过才知道,先测后装,不满意退",,,,,,
235,30-90,家人质量这块我说清楚：质保3年，正常用五年以上没问题。,你们想要耐用款还是性价比款？打在公屏我看需求。,家人灯耐不耐用看两点：LED光源和驱动的品质、散热和做工。咱们这批灯质保3年，设计寿命几万小时，正常用五年以上没问题。你更在意耐用还是性价比？打在公屏我给你推荐方案。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用质量保证,,2026/02/28,2026/02/28,,"憋单,质量,质保3年,用得久,稳定,靠谱",,,,,,
236,30-90,家人选灯别自己研究半天了，把需求发我，我直接给你锁定型号。,想省心的家人把需求打在公屏，我帮你直接锁定。,家人选灯最省心的方式：别让自己变成专家，把专业的事交给专业的人。你把房间、面积、层高、预算、风格偏好发我，我直接给你推荐型号。你照着买就行，不用自己研究来研究去。这样最省心。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用省心承诺,,2026/02/28,2026/02/28,,"憋单,省心,不用研究,直接推荐,照着买就行",,,,,,
237,30-90,家人咱们算一笔账：灯用5-8年，平均下来一天不到一块钱，舒服每一天。,你大概预算多少？打在公屏我给你方案对比。,家人价格这块你不用只盯着数字看，按使用时间算账：灯用5-8年，舒服不舒服每天都在用。你告诉我装哪间房、我按场景给你推荐：要性价比的我给你更省的，要追求质感我把参数和3年质保对齐。合适再拍。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用对比促单,,2026/02/28,2026/02/28,,"憋单,对比,贵和便宜,值不值,算账,按场景",,,,,,
238,30-90,家人这批库存不多，先拍先锁，后面不一定能补到。,想要的家人先把灯加购，别等下找不到链接了。,家人福利价的库存一般都比较紧张，卖完就真的没了。你如果确定要装这间房，建议先拍一单锁住价格和库存，后面你再慢慢选安装时间。不想要了7天内可以退，规则我提前说清。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用库存紧张,,2026/02/28,2026/02/28,,"憋单,库存,紧张,手慢无,先锁,再选",,,,,,
239,30-90,家人这批下单有赠品配件相送，超值福利先到先得。,你们想要赠品吗？打在公屏我看看需求。,家人今晚下单有个福利：部分款式会赠送安装配件或小礼品，这些配件单买也要几十块。现在下单不仅价格划算，还能拿到赠品。但赠品库存有限，先到先得。你确定要的话先把灯加购。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用赠品吸引,,2026/02/28,2026/02/28,,"憋单,赠品,福利,送配件,超值,先到先得",,,,,,
240,30-90,家人套装比单买更划算，一起买能省好几百。,你们家需要几盏灯？打在公屏我帮你算套装价。,家人如果你家是多灯具需求，我建议你买套装。套装一般比单买划算几百块，而且风格统一、参数匹配，不用自己搭配来搭配去。你家需要几盏灯？打在公屏我帮你算算怎么买最划算。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用套装划算,,2026/02/28,2026/02/28,,"憋单,套装,一起买更划算,省,对比单买",,,,,,
241,30-90,家人参数我都给你说清楚，你看清楚再决定买不买。,你们还有什么参数想了解的吗？打在公屏我解答。,家人参数这块我不藏着掖着：色温多少、显色多少、质保几年、用什么驱动，我都给你讲清楚。你看完再决定要不要，不会催你冲动消费。咱们把信息对齐，你自己做判断。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用参数透明,,2026/02/28,2026/02/28,,"憋单,参数,透明,不藏着,你看清楚,再决定",,,,,,
242,30-90,家人我不催你，理性消费，合适再拍，不合适就当交个朋友。,有什么问题尽管问，今晚有问必答。,家人我不玩催单那一套，买不买没关系，你把问题问清楚最重要。合适再拍，不合适就当在直播间交个朋友。后续有选灯问题随时来找我，我帮你解答。这样更长久。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用不催单,,2026/02/28,2026/02/28,,"憋单,不催你,理性,合适再拍,不合适看看",,,,,,
243,30-90,家人上次买过的可以回购，品质我给你兜底。,回购的家人们打个1，我看看有多少老朋友。,家人们如果之前买过，觉得品质不错可以回购。这次还是同样的品质同样的服务，有问题直接找我。还没买过的可以先收藏、等想好了再拍，我不催你。但品质我给你兜底。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用回头客,,2026/02/28,2026/02/28,,"憋单,老客户,回购,信任,品质,推荐",,,,,,
244,30-90,家人现在的灯很智能，语音开关、调光调色，比以前方便多了。,你们对智能功能有需求吗？打在公屏我看看。,家人智能灯确实比以前方便：可以语音控制开关、调节亮度和色温；可以用APP远程控制；甚至可以设置场景模式一键切换。你想要这种智能控制的还是普通开关的？打在公屏我按需求推荐。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用智能功能,,2026/02/28,2026/02/28,,"憋单,智能,语音,APP,调光,调色,方便",,,,,,
245,30-90,家人天热了风扇灯是刚需，灯风二合一，现在买正合适。,你们想先了解风扇灯吗？打在公屏我讲重点。,家人天气慢慢热起来了，风扇灯这种灯风二合一的产品正好应季。现在买回去装上，夏天不用开空调那么冷，春秋还可以做空气循环。一盏灯解决两个需求，很划算。你想要风扇灯还是普通主灯？打在公屏我按需求讲。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用季节刚需,,2026/02/28,2026/02/28,,"憋单,夏天,风扇灯,清凉,刚需,应季",,,,,,
246,30-90,家人安装费我提前给你算清楚，不让你付糊涂账。,你们担心安装费用吗？打在公屏我帮你算。,家人安装费用这块我提前给你算：大多数换灯就是直接替换，费用很低；如果需要改孔或加固，费用会多一点。你拍现场给我看，我先把大概率费用给你预估出来，你心里有数再决定。这样不算糊涂账。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用安装费透明,,2026/02/28,2026/02/28,,"憋单,安装费,透明,提前说,不算糊涂账",,,,,,
247,30-90,家人这灯用几年没问题，质保3年，我给你兜底。,你们想要耐用款还是性价比款？打在公屏我看需求。,家人灯这种大宗耐用消费品，一般都要用五年以上。咱们这批灯设计寿命几万小时，质保3年，正常用完全没有问题。你更在意耐用还是性价比？打在公屏我给你推荐方案。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用耐用承诺,,2026/02/28,2026/02/28,,"憋单,用得久,几年没问题,质保3年,省心",,,,,,
248,30-90,家人这款很多家人们买过，反馈都很好，跟着选不会错。,想要同款的家人们把需求打在公屏，我帮你锁定。,家人这款灯是我们直播间卖得最好的款式之一，很多家人们买过、装完反馈都不错。好评率很高，整体反馈是光舒服、安装方便、品质稳定。你跟着选基本上不会出错。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用好评背书,,2026/02/28,2026/02/28,,"憋单,好评,别人买过,反馈好,跟着选,不会错",,,,,,
249,30-90,家人下单后有我在，有问题随时找我，我帮你对接处理。,你们对服务有什么要求吗？打在公屏我说清楚。,家人你下单后不是就没管了，有任何问题随时找我：安装有问题我帮你问、对尺寸没把握我帮你核、收到货不知道怎么验我教你。服务到我这儿为止，不会让你自己摸索。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用服务承诺,,2026/02/28,2026/02/28,,"憋单,服务,有我在,有问必答,帮你对接",,,,,,
250,30-90,家人LED灯很省电，一年下来电费没多少钱，长期用更划算。,你们在意灯具的能耗吗？打在公屏我看需求。,家人LED灯比老式灯省电很多，一般同等亮度能耗只有老式灯的1/5到1/10。一年下来电费也就几十块，长期用很划算。你更在意节能还是亮度？打在公屏我给你推荐。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用环保节能,,2026/02/28,2026/02/28,,"憋单,省电,节能,LED,电费,长期省",,,,,,
251,30-90,家人全屋灯可以一起配，风格统一，我帮你一站式搞定。,你们全屋需要几盏灯？打在公屏我帮你算全屋方案。,家人如果你家是多灯具需求，我建议全屋一起配。一起配的好处：风格统一、参数匹配、价格更划算。你把全屋需求发我，我帮你一站式配好，省得你自己一样一样找。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用一站式,,2026/02/28,2026/02/28,,"憋单,一站式,全屋,一起配,风格统一,省心",,,,,,
252,30-90,家人这批库存充足，发货快，不用等很久。,你们着急装吗？打在公屏我看能不能安排。,家人这批库存充足，下单后很快就能发货，不用等很久。如果你着急安装，这个速度你可以放心。你大概什么时候想装好？打在公屏我帮你看时间来得及不。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用快速发货,,2026/02/28,2026/02/28,,"憋单,发货,快,库存,不用等,早买早装",,,,,,
253,30-90,家人买灯送人也可以，送父母送朋友都合适。,你们是送人还是自用？打在公屏我看需求。,家人如果你最近有朋友乔迁、父母家装需要，送灯也很合适。灯具是实用又有寓意的礼物，送人既有面子又实用。你要送礼还是自用？打在公屏我帮你推荐。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用礼品卡,,2026/02/28,2026/02/28,,"憋单,礼品卡,送礼,父母,乔迁,人情",,,,,,
254,30-90,家人这款颜色很百搭，换装修风格也能继续用，不会过时。,你们喜欢什么颜色的灯？打在公屏我看需求。,家人选灯有个隐藏点：颜色百搭的款式，以后换装修风格不用换灯。你看腻了装修风格，灯还可以继续用，这样更省钱。你更想要什么颜色？打在公屏我给你推荐百搭款。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用颜色百搭,,2026/02/28,2026/02/28,,"憋单,颜色,百搭,不过时,换风格也能用",,,,,,
255,30-90,家人听我的专业建议，按我配的选，更稳不会翻车。,相信专业的家人把需求打在公屏，我帮你锁定。,家人选灯这件事，听专业的人给建议比你自己研究更靠谱。我帮你配的灯，都是根据你家的实际情况来的：层高、面积、风格、预算都考虑到了。你按我说的选，更稳不会翻车。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用专业建议,,2026/02/28,2026/02/28,,"憋单,专业,建议,不踩坑,按我说的选,更稳",,,,,,
256,30-90,家人售后有我在，不用你自己扛，我帮你对接处理。,你们售后还有什么担心的吗？打在公屏我说清楚。,家人售后你放心，有我在。后面用着有任何问题，先联系小苏，我帮你对接处理，不会让你一个人面对客服。质保3年，期间有任何问题我都在。这样你买得也安心。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,用售后简单,,2026/02/28,2026/02/28,,"憋单,售后,简单,不麻烦,有我在,帮你处理",,,,,,
260,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,这款多大尺寸？,提供42/48/52英寸等多尺寸，卧室/客厅/餐厅都有对应规格，按空间选更合适。,风扇灯
261,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,适合多大平方？,约10-15㎡选42寸，15-20㎡选48寸，20-30㎡选52寸，仅供参考以户型与喜好为准。,风扇灯
262,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,有几个颜色？,常备黑色/白色/原木三色，可匹配现代、北欧、新中式多风格。,风扇灯
263,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,是吸顶式还是吊杆式？,两种都有；层高低选吸顶，层高高或挑空选吊杆（长短可选）。,风扇灯
264,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,有没有小户型款？,有，主推42寸/纤薄吸顶款，小空间不压层高。,风扇灯
265,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,有黑色/白色/原木色吗？,都有，黑稳重、白百搭、原木更温润自然。,风扇灯
266,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,扇叶是隐藏的吗？,本系列有隐形与外露两版，直播主推隐形伸缩叶，关灯时更简洁。,风扇灯
267,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,这个厚度多少？,吸顶款整体约18cm；吊杆款视杆长约25-35cm，观感轻薄。,风扇灯
268,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,层高2.6米能装吗？,可以，建议吸顶或短吊杆，不压层高。,风扇灯
269,,,,,,,,,2026/03/02,2026/03/02,,,,,基础信息类,这个会压层高吗？,纤薄吸顶款视觉占用小，基本不压层高。,风扇灯
270,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,几瓦？,主光源约36-60W可选，不同尺寸/版型功率不同。,风扇灯
271,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,亮度够不够？,卧室客厅都够用，支持变光/调亮度，满足观影到阅读多场景。,风扇灯
272,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,相当于多少瓦白炽灯？,36W LED约等于300W左右白炽灯亮度（不同环境会有差异）。,风扇灯
273,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,有三色变光吗？,支持暖黄/中性/正白三色切换。,风扇灯
274,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,支持无极调光吗？,支持无极调光调色，亮度/色温随心调。,风扇灯
275,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,会不会刺眼？,侧发光+漫射灯罩，柔和不刺眼，阅读模式也舒适。,风扇灯
276,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,有频闪吗？,无可视频闪，观看手机慢动作无跳闪。,风扇灯
277,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,护眼吗？,高显指+稳定恒流，减少蓝光与频闪干扰，更护眼。,风扇灯
278,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,灯珠是什么牌子的？,采用品牌级2835贴片LED，光效高、衰减低。,风扇灯
279,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,用久会发黄吗？,抗黄变PC灯罩+优质灯珠，长期使用不易发黄。,风扇灯
280,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,显色指数多少？,显指Ra≥90，色彩更真实。,风扇灯
281,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,可以只开灯不开风吗？,可以，灯风分控。,风扇灯
282,,,,,,,,,2026/03/02,2026/03/02,,,,,照明相关问题,可以只开风不开灯吗？,可以，夏夜不刺眼更舒适。,风扇灯
283,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,风大不大？,直流无刷电机+优化叶形，覆盖更广、风感足且均匀。,风扇灯
284,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,有几档风速？,6-8档可调，强劲/自然/睡眠多模式。,风扇灯
285,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,会不会吹得头疼？,可选自然风/睡眠风，柔和不直冲头部。,风扇灯
286,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,是自然风还是直吹？,两种都有，随场景切换更舒适。,风扇灯
287,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,能当主风扇用吗？,可以，客厅/卧室主扇皆可胜任。,风扇灯
288,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,电机是铜芯吗？,全铜芯直流无刷电机，动力强、寿命长、低能耗。,风扇灯
289,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,是直流电机还是交流电机？,直流无刷，静音省电、调速更细腻。,风扇灯
290,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,噪音大吗？,低档约20-30dB，夜间安静不扰眠。,风扇灯
291,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,几分贝？,视档位与环境约20-40dB区间，日常基本听不见。,风扇灯
292,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,晚上睡觉会不会响？,睡眠档几乎无感，保持安静空气流动。,风扇灯
293,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,有反转功能吗？,支持正反转，夏天向下送风、冬天反转循环暖空气。,风扇灯
294,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,冬天能用吗？,能，反转模式减少空调分层更保暖。,风扇灯
295,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,风会不会晃？,出厂动平衡校准，运行稳定不晃。,风扇灯
296,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,会不会抖？,多重减震结构，正常安装不抖不串音。,风扇灯
297,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,扇叶材质是什么？,高韧性ABS一体成型，轻而强韧。,风扇灯
298,,,,,,,,,2026/03/02,2026/03/02,,,,,风力与性能类,扇叶会不会断？,抗冲击耐久度高，正常使用不易断裂。,风扇灯
299,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,带遥控吗？,标配遥控器，灯光/风速/定时一键到位。,风扇灯
300,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,遥控丢了怎么办？,支持补配；智能版可用手机APP/语音控制。,风扇灯
301,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,支持手机APP吗？,支持，远程调光调风更便捷。,风扇灯
302,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,支持小爱同学吗？,智能版支持，绑定后可语音控制开关/档位。,风扇灯
303,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,支持天猫精灵吗？,支持智能生态联动，语音可控。,风扇灯
304,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,支持米家吗？,智能版可接入对应平台，具体以所拍型号为准。,风扇灯
305,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,支持语音控制吗？,支持，语音开关灯/调风/定时更方便。,风扇灯
306,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,可以定时吗？,可定时关灯关风，入睡更省心。,风扇灯
307,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,有睡眠模式吗？,有，低噪细风，整夜舒适。,风扇灯
308,,,,,,,,,2026/03/02,2026/03/02,,,,,智能控制类,可以记忆上次设置吗？,支持断电记忆，常用模式一键恢复。,风扇灯
309,,,,,,,,,2026/03/02,2026/03/02,,,,,安装类,安装复杂吗？,标准两线接入，按说明/视频即可完成，流程清晰。,风扇灯
310,,,,,,,,,2026/03/02,2026/03/02,,,,,安装类,需要打孔吗？,吊装需打孔并用膨胀螺丝或预埋件固定，更稳固。,风扇灯
311,,,,,,,,,2026/03/02,2026/03/02,,,,,安装类,普通电工能装吗？,能，家装电工按说明即可安装。,风扇灯
312,,,,,,,,,2026/03/02,2026/03/02,,,,,安装类,需要单独布线吗？,不需要，灯风一体化控制，原照明位即可。,风扇灯
313,,,,,,,,,2026/03/02,2026/03/02,,,,,安装类,家里只有一个灯线能装吗？,可以，一火一零即可，遥控/APP分控灯风。,风扇灯
